BUNDLE:ORIGINAL,dc_title,dc_creator,dc_date_issued,dc_description_abstract,dc_identifier
8563777.pdf,Ionizable isotopic labeling reagents for relative quantification by mass spectrometry,"['Smith, Lloyd M.', 'Frey, Brian L.', 'Belshaw, Peter J.', 'Coon, Joshua J.', 'Kelleher, Neil L.', 'Shortreed, Michael R.', 'Phillips, Margaret F.', 'Lamos, Shane M.', 'Krusemark, Casey J.', 'Patel, Madhusudan']",2013-10-22,"Relative quantification of metabolites by Electrospray Ionization Mass Spectrometry (ESI-MS) requiring a mechanism for simultaneous analysis of multiple analytes in two or more samples. Labeling reagents that are reactive to particular compound classes and differ only in their isotopic compositions facilitate relative quantification. Heavy and light isotopic forms of methylacetimidate were synthesized and used as labeling reagents for quantification of amine-containing molecules. Heavy and light isotopic forms of formaldehyde and cholamine were also synthesized and used independently as labeling reagents for quantification of amine-containing and carboxylic acid-containing molecules, such as found in biological samples. The labeled end-products are positively charged under normal acidic conditions involving conventional Liquid Chromatography Mass Spectrometry (LC/MS) applications. Labeled primary and secondary amine and carboxylic acid end-products generated higher signals concerning mass-spectra than pre-cursor molecules and improved sensitivity. Improved accuracy concerning relative quantification was demonstrated by mixing heavy and light labeled Arabidopsis extracts in different ratios.",8563777
8565376.pdf,Method and apparatus for measuring properties of a compound,"['Meng, Ling-Jian']",2013-10-22,"A system that incorporates teachings of the present disclosure may include, for example, an apparatus having a collimator having at least one aperture and a fluorescence detector. The collimator can be positioned next to a compound. The compound can emit fluorescence X-rays when impacted by an X-ray beam generated by an X-ray source. The collimator can absorb at least a first portion of the fluorescence X-rays emitted by the compound and release at least a second portion of the fluorescence X-rays at the at least one aperture. The second portion of the fluorescence X-rays released by the at least one aperture have known directional information based on a position of the collimator. The fluorescence detector can detect the second portion of the fluorescence X-rays released by the at least one aperture. A three-dimensional (3-D) rendering of an elemental distribution of the compound can be determined from the fluorescence X-rays detected and the directional information. Additional embodiments are disclosed.",8565376
8568690.pdf,MRI contrast agents and high-throughput screening by MRI,"['Lu, Yi', 'Mazumdar, Debapriya', 'Yigit, Mehmet Veysel']",2013-10-29,"The present invention provides an MRI contrast agent, comprising: MRI contrast agent particles, and oligonucleotides, attached to the particles.",8568690
8581045.pdf,Hypervirulent mutant of Agrobacterium tumefaciens,"['Farrand, Stephen K.', 'Barnhart, David Michael']",2013-11-12,"This disclosure relates to a mutant Agrobacterium tumefaciens that is functionally deleted for the atu1060 gene that codes for the cyclic di-GMP synthase Atu1060, as well as methods for its use in transforming plants with desired transgenes. Such bacteria are more virulent than currently used strains of A. tumefaciens, and thus can be used to transform a wider variety of plants, such as plants that are traditionally recalcitrant to such transformation.",8581045
8586961.pdf,Resistive changing device,"['Pop, Eric']",2013-11-19,"A device that incorporates teachings of the present disclosure may include, for example, a memory array having a first array of nanotubes, a second array of nanotubes, and a resistive change material located between the first and second array of nanotubes. Other embodiments are disclosed.",8586961
8592584.pdf,Compositions and methods including cell death inducers and procaspase activation,"['Hergenrother, Paul J.', 'Putt, Karson S.', 'Peterson, Quinn P.', 'Fako, Valerie']",2013-11-26,"Compositions and methods are disclosed in embodiments relating to induction of cell death such as in cancer cells. Compounds and related methods for synthesis and use thereof, including the use of compounds in therapy for the treatment of cancer and selective induction of apoptosis in cells are disclosed. Compounds are disclosed in connection with modification of procaspases such as procaspase-3. In embodiments, compositions are capable of activation of procaspase-3.",8592584
8593630.pdf,Discrete frequency spectroscopy and instrumentation,"['Cunningham, Brian T.', 'Bhargava, Rohit']",2013-11-26,"Described herein are spectrometers comprising one or more wavelength-selective filters, such as guided mode resonance filters. Some of the spectrometers described herein are configured for obtaining absorbance spectra in a discrete fashion by measuring absorbances of a sample at multiple discrete wavelengths or wavelength bands. In another aspect, methods are also provided for obtaining spectra, images and chemical maps of samples in a discrete fashion.",8593630
8594757.pdf,Apparatus for biomedical imaging,"['Boppart, Stephen A.', 'Jung, Woonggyu']",2013-11-26,"A system that incorporates teachings of the present disclosure may include, for example, a method involving capturing spectral interference from an optical coherence tomography imaging probe comprising a micro-electro-mechanical system (MEMS) scanning mirror, and a partial reflector for supplying images to an image sensor. Additional embodiments are disclosed.",8594757
8599388.pdf,Coherent optical mapping of particles,"['Carney, Paul Scott', 'Bhargava, Rohit', 'van Dijk, Thpomas', 'Mayerich, David']",2013-12-03,"Methods and computer program products for super-resolution mapping of nanoprobes having spectrally distinguishable coherent scattering properties. A sample containing a plurality of nanoprobes is illuminated with broadband light, and coherent scattering by the nanoprobes is detected. Scattered light is spectrally associated with respective nanoprobes, allowing a position associated with each nanoprobe to be mapped.",8599388
8602329.pdf,Variable orifice nozzle,"['Tian, Lei']",2013-12-10,"A spray nozzle assembly includes a pressure dependent variable spray orifice and an internal chamber which is at least partially bound by a flexibly deformable sidewall. At its distal end, the sidewall terminates at a distal face defining the spray orifice extending therethrough. A metering member extends distally from the internal chamber and through at least a portion of the spray orifice. As the pressure of a liquid supplied to the internal chamber by a liquid supply pathway varies, the flexibly deformable sidewall expands or contracts in response thereto. As the sidewall expands and contracts, the distal face moves relative to the metering member to change the effective size of the spray orifice.",8602329
8608992.pdf,Carbon nanofibers derived from polymer nanofibers and method of producing the nanofibers,"['Naraghi, Mohammad', 'Chasiotis, Ioannis', 'Arshad, Salman N.']",2013-12-17,"A method for producing one or more nanofibers includes providing (a) a solution comprising a polymer and a solvent, (b) a nozzle for ejecting the solution, and (c) a stationary collector disposed a distance d apart from the nozzle. A voltage is applied between the nozzle and the stationary collector, and a jet of the solution is ejected from the nozzle toward the stationary collector. An electric field intensity of between about 0.5 and about 2.0 kV/cm is maintained, where the electric field intensity is defined as a ratio of the voltage to the distance d. At least a portion of the solvent from the stream is evaporated, and one or more polymer nanofibers are deposited on the stationary collector as the stream impinges thereupon. Each polymer nanofiber has an average diameter of about 500 nm or less and may serve as a precursor for carbon fiber production.",8608992
8609638.pdf,Enzyme inhibiting compounds and methods,"['Zhang, Yonghui', 'Oldfield, Eric', 'Wang, Ke', 'Wang, Weixue']",2013-12-17,"The invention provides compounds, compositions, and methods for studying the Rohmer pathway and for treating bacterial infections or parasitic infections. The parasitic infection can be a protozoan infection, such as malaria. The compounds and compositions can also be used as antibiotics, for example, to kill bacteria or parasites, or to inhibit bacterial or parasite growth. The invention further provides inhibitors of isoprenoid biosynthesis enzymes, and methods of inhibiting the activity of isoprenoid biosynthesis enzymes. The compounds can be, for example, alkynes or allenes that bind to a unique Fe of an Fe4S4 cluster of an isoprenoid biosynthesis enzyme.",8609638
8610986.pdf,Mirror arrays for maskless photolithography and image display,"['Jain, Kanti', 'Chae, Junghun', 'Jin, Hyun-Jong', 'Lin, Kevin']",2013-12-17,"Micromirrors and micromirror arrays described herein are useful, for example in maskless photolithography systems and methods and projection display devices and methods. According to one aspect, the micromirrors comprise a polymer structural layer and a reflective dielectric multilayer for selective reflection and/or redirection of incoming electromagnetic radiation. According to another aspect, incorporation of a reflective dielectric multilayer allows for use of polymer structural materials in micromirrors and prevents damage to such polymer materials due to excessive heating from absorption of electromagnetic radiation, as the reflective dielectric multilayers are highly reflective and minimize heating of the micromirror components. According to yet a further aspect, top down fabrication methods are described herein for making a micromirror comprising a polymer structural layer and a reflective dielectric multilayer.",8610986
8628055.pdf,Bi-direction rapid action electrostatically actuated microvalve,"['Masel, Richard I.', 'Shannon, Mark A.', 'Bae, Byunghoon']",2014-01-14,"A bi-directional electrostatic microvalve includes a membrane electrode that is controlled by application of voltage to fixed electrodes disposed on either side of the membrane electrode. Dielectric insulating layers separate the electrodes. One of the fixed electrodes defines a microcavity. Microfluidic channels formed into the electrodes provide fluid to the microcavity. A central pad defined in the microcavity places a portion of the second electrode close to the membrane electrode to provide a quick actuation while the microcavity reduces film squeezing pressure of the membrane electrode. In preferred embodiment microvalves, low surface energy and low surface charge trapping coatings, such as fluorocarbon films made from cross-linked carbon di-fluoride monomers or surface monolayers made from fluorocarbon terminated silanol compounds coatings coat the electrode low bulk charge trapping dielectric layers limit charge trapping and other problems and increase device lifetime operation.",8628055
8636829.pdf,Gas purification system for liquefaction of dilute gas components,"['Rood, Mark J.', 'Hay, K. James', 'Johnsen, David J.', 'Mallouk, Kaitlin']",2014-01-28,"The invention provides gas purification systems for the recovery and liquefaction of low boiling point organic and inorganic gases, such as methane, propane, CO2, NH3, and chlorofluorocarbons. Many such gases are in the effluent gas of industrial processes and the invention can increase the sustainability and economics of such industrial processes. In a preferred system of the invention, low boiling point gases are adsorbed with a heated activated carbon fiber material maintained at an adsorption temperature during an adsorption cycle. During a low boiling point desorption cycle the activated carbon fiber is heated to a desorption temperature to create a desorption gas stream with concentrated low boiling point gases. The desorption gas stream is actively compressed and/or cooled to condense and liquefy the low boiling point gases, which can then be collected, stored, re-used, sold, etc. Particular systems of the invention include an active condensation loop that actively cools and/or compresses a desorption gas stream from said vessel to liquefy low boiling point gases.",8636829
8638830.pdf,Light emitting and lasing semiconductor devices and methods,"['Holonyak, Jr., Nick', 'Feng, Milton', 'Walter, Gabriel']",2014-01-28,"A semiconductor light emitting device, including: a heterojunction bipolar light-emitting transistor having a base region between emitter and collector regions; emitter, base, and collector electrodes for coupling electrical signals with the emitter, base, and collector regions, respectively; and a quantum size region in the base region; the base region including a first base sub-region on the emitter side of the quantum size region, and a second base sub-region on the collector side of the quantum size region; and the first and second base sub-regions having asymmetrical band structures.",8638830
8651168.pdf,Cooling control system for continuous casting of metal,"['Thomas, Brian G.', 'Bentsman, Joseph', 'Zheng, Kai']",2014-02-18,"Maintaining the shell surface temperature profile under transient conditions by spray water cooling in continuous casting of steel is often desired to reduce occurrence of surface cracks. For this purpose, a real-time spray-cooling control system is provided that includes one or more of: a virtual sensor for accurate estimation/prediction of shell surface temperature, control algorithm and data checking subroutines for robust temperature control, server and client programs for communicating between these software components and the caster, and a real-time monitor to display the predicted shell surface temperature profiles, water flow rates, and operating data, among other things.",8651168
8652763.pdf,Method for fabricating dual damascene profiles using sub pixel-voting lithography and devices made by same,"['Jain, Kanti', 'Reddy, Uttam']",2014-02-18,"This invention provides processing steps, methods and materials strategies for making patterns of structures for integrated electronic devices and systems. Processing methods of the present invention are capable of making micro- and nano-scale structures, such as Dual Damascene profiles, recessed features and interconnect structures, having non-uniform cross-sectional geometries useful for establishing electrical contact between device components of an electronic device. The present invention provides device fabrication methods and processing strategies using sub pixel-voting lithographic patterning of a single layer of photoresist useful for fabricating and integrating multilevel interconnect structures for high performance electronic or opto-electronic devices, particularly useful for Very Large Scale Integrated (VLSI) and Ultra large Scale Integrated (ULSI) devices. Processing methods of the present invention are complementary to conventional microfabrication and nanofabrication methods for making integrated electronics, and can be effectively integrated into existing photolithographic, etching, and thin film deposition patterning systems, processes and infrastructure.",8652763
8656957.pdf,Vortex generators to control boundary layer interactions,"['Loth, Eric', 'Babinsky, Holger', 'Lee, Sang']",2014-02-25,"Devices for generating streamwise vorticity in a boundary includes various forms of vortex generators. One form of a split-ramp vortex generator includes a first ramp element and a second ramp element with front ends and back ends, ramp surfaces extending between the front ends and the back ends, and vertical surfaces extending between the front ends and the back ends adjacent the ramp surfaces. A flow channel is between the first ramp element and the second ramp element. The back ends of the ramp elements have a height greater than a height of the front ends, and the front ends of the ramp elements have a width greater than a width of the back ends.",8656957
8663511.pdf,Encapsulated materials and methods for encapsulating materials,"['Kim, Kyekyoon', 'Choi, Hyungsoo']",2014-03-04,"A system that incorporates teachings of the present disclosure may include, for example, a method for applying a force to at least one of an inner stream, an outer stream or both of a combined stream to produce a plurality of capsules, receiving image data, processing the image data, detecting undesirable capsules from the processed image data, applying a bias charge only to the detected undesirable capsules, and segregating the biased undesirable capsules from the unbiased desirable capsules. Additional embodiments are disclosed.",8663511
8664699.pdf,Methods and devices for fabricating and assembling printable semiconductor elements,"['Rogers, John A.', 'Nuzzo, Ralph G.', 'Khang, Dahl-Young', 'Menard, Etienne', 'Sun, Yugang', 'Zhu, Zhengtao', 'Lee, Keon Jae', 'Meitl, Matthew']",2014-03-04,"The invention provides methods and devices for fabricating printable semiconductor elements and assembling printable semiconductor elements onto substrate surfaces. Methods, devices and device components of the present invention are capable of generating a wide range of flexible electronic and optoelectronic devices and arrays of devices on substrates comprising polymeric materials. The present invention also provides stretchable semiconductor structures and stretchable electronic devices capable of good performance in stretched configurations.",8664699
8666471.pdf,Implantable biomedical devices on bioresorbable substrates,"['Kaplan, David L.', 'Rogers, John A.', 'Litt, Brian', 'Huang, Yonggang', 'Kim, Dae Hyeong', 'Omenetto, Fiorenzo G.', 'Viventi, Jonathan', 'Amsden, Jason J.']",2014-03-04,"Provided herein are implantable biomedical devices, methods of administering implantable biomedical devices, methods of making implantable biomedical devices, and methods of using implantable biomedical devices to actuate a target tissue or sense a parameter associated with the target tissue in a biological environment. Each implantable biomedical device comprises a bioresorbable substrate, an electronic device having a plurality of inorganic semiconductor components supported by the bioresorbable substrate, and a barrier layer encapsulating at least a portion of the inorganic semiconductor components. Upon contact with a biological environment the bioresorbable substrate is at least partially resorbed, thereby establishing conformal contact between the implantable biomedical device and the target tissue in the biological environment.",8666471
8670476.pdf,Distributed reflector in a microring resonator,"['Goddard, Lynford L.', 'Kang, Young Mo', 'Arbabi, Amir']",2014-03-11,"A component having a microring resonator and grating, coupled to a waveguide is described. By selection of the grating period, and other parameters such as the grating-waveguide coupling coefficient, an efficient filter may be designed and constructed. The component may be used in passive devices such as add-drop multiplexers or sensors, or in active devices such as lasers. Designs having essentially no response sidelobes, very narrow effective bandwidths, and fast filter roll-offs may permit compact devices to be produced, when compared with typical distributed sampled Bragg grating structures.",8670476
8674461.pdf,Hybrid plasma-semiconductor electronic and optical devices,"['Eden, J. Gary', 'Wagner, Clark J.', 'Tchertchian, Paul A.']",2014-03-18,"The invention provides combination semiconductor and plasma devices, including transistors and phototransistors. A preferred embodiment hybrid plasma semiconductor device has active solid state semiconductor regions; and a plasma generated in proximity to the active solid state semiconductor regions. Devices of the invention are referred to as hybrid plasma-semiconductor devices, in which a plasma, preferably a microplasma, cooperates with conventional solid state semiconductor device regions to influence or perform a semiconducting function, such as that provided by a transistor. The invention provides a family of hybrid plasma electronic/photonic devices having properties previously unavailable. In transistor devices of the invention, a low temperature, glow discharge is integral to the hybrid transistor. Example preferred devices include hybrid BJT and MOSFET devices.",8674461
8675703.pdf,Two terminal light emitting and lasing devices and methods,"['Holonyak, Jr., Nick', 'Feng, Milton', 'Walter, Gabriel']",2014-03-18,"A method for producing light emission from a semiconductor structure, including the following steps: providing a semiconductor structure that includes a first semiconductor junction between an emitter region of a first conductivity type and a base region of a second conductivity type opposite to that of the first conductivity type, and a second semiconductor junction between the base region and a drain region; providing, within the base region, a region exhibiting quantum size effects; providing an emitter electrode coupled with the emitter region; providing a base/drain electrode coupled with the base region and the drain region; and applying signals with respect to the emitter and base/drain electrodes to obtain light emission from the semiconductor structure.",8675703
8679621.pdf,Materials and methods for autonomous restoration of electrical conductivity,"['Moore, Jeffrey S.', 'Amine, Khalil', 'White, Scott R.', 'Sottos, Nancy R.', 'Braun, Paul V.', 'Odom, Susan A.', 'Caruso, Mary M.', 'Blaiszik, Benjamin J.', 'Jackson, Aaron C.', 'Baginska, Marta B.', 'Ritchey, Joshua A.', 'Finke, Aaron D.']",2014-03-25,"An autonomic conductivity restoration system includes a solid conductor and a plurality of particles. The particles include a conductive fluid, a plurality of conductive microparticles, and/or a conductive material forming agent. The solid conductor has a first end, a second end, and a first conductivity between the first and second ends. When a crack forms between the first and second ends of the conductor, the contents of at least a portion of the particles are released into the crack. The cracked conductor and the released contents of the particles form a restored conductor having a second conductivity, which may be at least 90% of the first conductivity.",8679621
8679888.pdf,Arrays of ultrathin silicon solar microcells,"['Rogers, John A.', 'Rockett, Angus A.', 'Nuzzo, Ralph G.', 'Yoon, Jongseung', 'Baca, Alfred J.']",2014-03-25,"Provided are solar cells, photovoltaics and related methods for making solar cells, wherein the solar cell is made of ultrathin solar grade or low quality silicon. In an aspect, the invention is a method of making a solar cell by providing a solar cell substrate having a receiving surface and assembling a printable semiconductor element on the receiving surface of the substrate via contact printing. The semiconductor element has a thickness that is less than or equal to 100 μm and, for example, is made from low grade Si.",8679888
8680364.pdf,Soybean genes for resistance to Aphis glycines,"['Li, Yan', 'Hill, Curtis B.', 'Hartman, Glen L.', 'Diers, Brian W.', 'Carlson, Shawn R.']",2014-03-25,"Aphis glycines resistance (RAG) genes are provided by this invention, along with methods for identifying their presence using marker-assisted selection. Varieties of G. max and G. soja having resistance to A. glycines have been identified. The RAG genes, as well as the methods, aphid-resistant varieties, and markers disclosed herein may be used to breed new elite lines expressing soybean aphid resistance.",8680364
8685956.pdf,Compositions and methods for reducing the risk of agent-induced liver toxicity,"['Garrow, Timothy Alan', 'Peltz, Gary Allen', 'Liao, Guochun', 'Liu, Hong-Hsing']",2014-04-01,"The present disclosure relates generally to a pharmaceutical compositions and methods of reducing acetaminophen-induced liver toxicity. The disclosure includes pharmaceutical compositions including acetaminophen and one or more components selected from S-adenosylhomocysteine (SAH), S-methylmethionine (SMM), or a pharmaceutically acceptable salt thereof. The disclosure also relates to methods of reducing acetaminophen-induced liver toxicity in a subject by administering or co-administering one or more of S-adenosylhomocysteine (SAH), S-methylmethionine (SMM), or a pharmaceutically acceptable salt thereof, with acetaminophen to a subject.",8685956
8687187.pdf,"Surface enhanced raman spectroscopy on optical resonator (e.g., photonic crystal) surfaces","['Cunningham, Brian T.']",2014-04-01,"Highly sensitive Surface Enhanced Raman Spectroscopy (SERS) sensors are described in the form of a optical resonator and a metal nanostructure deposited on surface of the optical resonator. In one embodiment the optical resonator is in the form of a photonic crystal, but other optical resonators are contemplated. Examples are described in which the resonant near-fields of a large-area replica molded photonic crystal efficiently couples light from a laser to dielectric-metal “post-cap” nanostructures deposited on the photonic crystal surface by a glancing angle evaporation technique, achieving a high SERS enhancement factor. Other constructions are also contemplated a metal nanostructure formed on a dielectric support deposited on the photonic crystal, including a metallic film deposited over close-packed surface of nanospheres, arrays of metallic nanotriangles, metallic nanorods, metallic nanohelices, arrays of metallic nanospheres, and roughened metal surfaces.",8687187
8692053.pdf,Soybean gene for resistance to alphis glycines,"['Hill, Curtis B.', 'Hartman, Glen L.']",2014-04-08,"An Aphis glycines resistance Rag2 gene is provided herein, along with methods for identifying its presence using marker-assisted selection. A cultivar of G. max having resistance to Aphis glycines conferred by the Rag2 gene has been identified. The Rag2 gene, as well as the methods, aphid-resistant varieties, and markers disclosed herein may be used to breed new elite lines expressing soybean aphid resistance.",8692053
8699206.pdf,Nano vacuum tube arrays for energy storage,"['Hubler, Alfred W.', 'Osuagwu, Onyeama']",2014-04-15,"Methods and apparatus for storing information or energy. An array of nano vacuum tubes is evacuated to a pressure below 10−6 Torr, where each nano vacuum tube has an anodic electrode, a cathodic electrode spaced apart from the anodic electrode, and an intervening evacuated region. An excess of electrons is stored on the cathodic electrode.",8699206
8702929.pdf,Solid state device,"['Timp, Gregory L.', 'Leburton, Jean-Pierre', 'Gracheva, Maria E.', 'Vidal, Julien']",2014-04-22,"A system that incorporates teachings of the present disclosure may include, for example, a solid-state selector having a vessel for carrying a liquid medium with one or more molecules surrounded by ions, a solid state conductive structure doped with impurities having one or more through-holes extending between two surfaces of the solid state conductive structure positioned within the liquid medium of the vessel, a voltage source coupled to the solid state conductive structure to selectively stimulate the ions surrounding the one or more molecules to pass through the one or more through-holes. Additional embodiments are disclosed.",8702929
8703285.pdf,Interfacial functionalization for self-healing composites,"['White, Scott R.', 'Sottos, Nancy R.', 'Blaiszik, Benjamin J.', 'Moll, Jericho L.', 'Beiermann, Brett A.']",2014-04-22,"A reinforced composite material includes a solid polymer matrix, a reinforcing material in the solid polymer matrix, and a first plurality of capsules. The reinforcing material includes a surface. The capsules are on the surface of the reinforcing material, and include a liquid healing agent. The amount of the healing agent of the capsules is at least 0.01 milligrams per square centimeter of the surface area of the reinforcing material.",8703285
8707180.pdf,System for cyber investigation and data management,"['Butler, Randy L.', 'Sheafe, L. Bradlee', 'Welch, Von']",2014-04-22,"A system for executing a cyber investigation by a non-expert user, including a computer having a processor, a memory, and a display; a computer-readable medium having stored thereon instructions for execution of a wizard application, the processor adapted to execute the instructions when the computer-readable medium is inserted into the computer, the processor programmed to: receive case information; receive a type of activity being investigated in response to user inputs to select the activity type from a list of possible activity types; guide the user through capturing data related to the selected activity type through steps presented to the user through one or more screens shown in the display, the steps presented such that a non-expert user can follow them; receive user inputs through a screens to obtain information needed to continue capturing the data related to the selected activity; and store the captured data in a removable data storage device or medium for analysis and use in the cyber investigation.",8707180
8712559.pdf,Adaptive control for uncertain nonlinear multi-input multi-output systems,"['Hovakimyan, Naira', 'Cao, Chengyu', 'Xargay, Enric']",2014-04-29,"Systems and methods of adaptive control for uncertain nonlinear multi-input multi-output systems in the presence of significant unmatched uncertainty with assured performance are provided. The need for gain-scheduling is eliminated through the use of bandwidth-limited (low-pass) filtering in the control channel, which appropriately attenuates the high frequencies typically appearing in fast adaptation situations and preserves the robustness margins in the presence of fast adaptation.",8712559
8717673.pdf,Simple ultra-stable stage with built-in fiduciary markers for fluorescence nanoscopy,"['Selvin, Paul R.', 'Lee, Sang Hak']",2014-05-06,"An improved microscope stage mount with built-in fiduciary markers is used for fluorescence microscopy, and comprises: (a) an optically-transparent glass plate adapted for specimen mounting and microscope viewing and comprising a specimen mounting area; and (b) a defined and ordered, two-dimensional microscopic array of fiduciary markers, wherein the markers are polymeric pillars affixed to the plate about the specimen mounting area, wherein the markers provide a three-dimensional spatial reference for the specimen.",8717673
8719796.pdf,Parametric trace slicing,"['Chen, II, Feng', 'Rosu, Grigore', 'Meredith, Patrick O.']",2014-05-06,"A program trace is obtained and events of the program trace are traversed. For each event identified in traversing the program trace, a trace slice of which the identified event is a part is identified based on the parameter instance of the identified event. For each trace slice of which the identified event is a part, the identified event is added to an end of a record of the trace slice. These parametric trace slices can be used in a variety of different manners, such as for monitoring, mining, and predicting.",8719796
8719960.pdf,Temperature-dependent nanoscale contact potential measurement technique and device,"['King, William P.']",2014-05-06,"The present invention provides a microcantilever capable of independently measuring and/or controlling the electrical potential and/or temperature of a surface with nanometer scale position resolution. The present invention also provides methods of manipulating, imaging, and/or mapping a surface or the properties of a surface with a microcantilever. The microcantilevers of the present invention are also capable of independently measuring and/or controlling the electrical potential and/or temperature of a gas or liquid. The devices and methods of the present invention are useful for applications including gas, liquid, and surface sensing, micro- and nano-fabrication, imaging and mapping of surface contours or surface properties.",8719960
8722458.pdf,Optical systems fabricated by printing-based assembly,"['Park, Sang-Il', 'Rogers, John', 'Nuzzo, Ralph G.', 'Menard, Etienne', 'Ko, Heung Cho', 'Meitl, Matthew', 'Ahn, Jong-Hyun', 'Motala, Michael J.', 'Yoon, Jongseung', 'Baca, Alfred J.', 'Stoykovich, Mark Petar', 'Yu, Chang-Jae']",2014-05-13,"Provided are optical devices and systems fabricated, at least in part, via printing-based assembly and integration of device components. In specific embodiments the present invention provides light emitting systems, light collecting systems, light sensing systems and photovoltaic systems comprising printable semiconductor elements, including large area, high performance macroelectronic devices. Optical systems of the present invention comprise semiconductor elements assembled, organized and/or integrated with other device components via printing techniques that exhibit performance characteristics and functionality comparable to single crystalline semiconductor based devices fabricated using conventional high temperature processing methods. Optical systems of the present invention have device geometries and configurations, such as form factors, component densities, and component positions, accessed by printing that provide a range of useful device functionalities. Optical systems of the present invention include devices and device arrays exhibiting a range of useful physical and mechanical properties including flexibility, shapeability, conformability and stretchablity.",8722458
8729524.pdf,Controlled buckling structures in semiconductor interconnects and nanomembranes for stretchable electronics,"['Rogers, John A.', 'Nuzzo, Ralph G.', 'Khang, Dahl-Young', 'Menard, Etienne', 'Carlson, Andrew E.', 'Huang, Yonggang', 'Ko, Heung Cho', 'Sun, Yugang', 'Zhu, Zhengtao', 'Meitl, Matthew', 'Stoykovich, Mark Petar', 'Choi, Won-mook', 'Jiang, Hanqing']",2014-05-20,"In an aspect, the present invention provides stretchable, and optionally printable, components such as semiconductors and electronic circuits capable of providing good performance when stretched, compressed, flexed or otherwise deformed, and related methods of making or tuning such stretchable components. Stretchable semiconductors and electronic circuits preferred for some applications are flexible, in addition to being stretchable, and thus are capable of significant elongation, flexing, bending or other deformation along one or more axes. Further, stretchable semiconductors and electronic circuits of the present invention are adapted to a wide range of device configurations to provide fully flexible electronic and optoelectronic devices.",8729524
8731272.pdf,Computational adaptive optics for interferometric synthetic aperture microscopy and other interferometric imaging,"['Boppart, Stephen A.', 'Carney, Paul Scott', 'Adie, Steven G.']",2014-05-20,"Methods for correcting for aberrations in the image or three-dimensional reconstruction of a sampled region obtained by broadband interferometry. The sampled region is illuminated with a broadband beam of light, and light returned from the sample is detected, along with a reference beam, in order to derive an interference signal for pixels of a volume spanned by wavenumber and axes transverse to the beam propagation direction. An optimization procedure is performed with respect to a specified criterion so as to obtain an aberration-corrected image of at least one plane of the sampled region, either in a plane-specific manner or in a space-invariant manner throughout the sampled region. A filter function, which may be derived from the interference signal attendant to irradiating a sparsely distributed plurality of point scatterers, or otherwise, corrects for a detected aberrated point spread function. Methods of the present invention may be used for aberration correction in reading information from an optical data storage medium.",8731272
8746577.pdf,"Placement insensitive antenna for RFID, sensing, and/or communication systems","['Bernhard, Jennifer T.', 'Ruyle, Jessica E.']",2014-06-10,An antenna includes a ground plane having a slot. The slot may be miniaturized using a meandered slot structure or other appropriate reactive loading method as an end load to one or both ends of the slot. An edge treatment may be included on one or more edges of the ground plane or a closely spaced reflecting plane. The antenna is structured to transmit or receive a signal independently or in response to electromagnetic radiation.,8746577
8748091.pdf,Characterizing stretched polynucleotides in a synthetic nanopassage,"['Timp, Gregory L.', 'Timp, Winston', 'Mirsaidov, Utkur', 'Aksimentiev, Aleksei', 'Comer, Jeffrey']",2014-06-10,"Methods of trapping a deformed portion of a double-stranded polynucleotide in a membrane nanopassage are provided. In an aspect, the membrane has a nanopassage that defines a confine region, wherein the membrane separates a first fluid compartment from a second fluid compartment, and the nanopassage is in fluid communication with the first and second compartments. A polynucleotide is provided to the first fluid compartment and optionally a threshold voltage for the membrane and the polynucleotide is determined. A driving voltage across the membrane that is greater than the threshold voltage is applied to force a portion of the polynucleotide sequence into the nanopassage confine region, and decreased to a holding voltage bias to trap the polynucleotide portion in the nanopassage confine region. In particular, at least one nucleotide base-pair is fixably positioned in the nanopassage confine volume. In further embodiments, any of the trapping methods are used to characterize or sequence double stranded DNA.",8748091
8748140.pdf,Xylose-fermenting microorganism,"['Jin, Yong-Su', 'Kim, Soo Rin', 'Ha, Suk-Jin']",2014-06-10,"The present disclosure provides compositions and methods related to the fermentation of xylose. Host cells having recombinant polynucleotides encoding one or more of aldose reductases, xylitol dehydrogenases, and xylulokinase are provided herein. Host cells having reduced expression of PHO13 are also provided herein. Also provided herein are uses of host cells provided herein, and methods relating to the use of xylose-containing materials.",8748140
8754084.pdf,Therapeutic methods and agents for treating myotonic dystrophy,"['Hergenrother, Paul J.', 'Zimmerman, Steven C.', 'Wong, Chun-Ho', 'Peh, Jessie']",2014-06-17,"The invention provides compounds, compositions and methods for treating myotonic dystrophy. The compounds can selectively bind to CUG repeats in RNA, or to CTG repeats in DNA, and inhibit replication of the nucleic acids.",8754084
8754396.pdf,Stretchable form of single crystal silicon for high performance electronics on rubber substrates,"['Rogers, John A.', 'Khang, Dahl-Young', 'Menard, Etienne', 'Sun, Yugang']",2014-06-17,"The present invention provides stretchable, and optionally printable, semiconductors and electronic circuits capable of providing good performance when stretched, compressed, flexed or otherwise deformed. Stretchable semiconductors and electronic circuits of the present invention preferred for some applications are flexible, in addition to being stretchable, and thus are capable of significant elongation, flexing, bending or other deformation along one or more axes. Further, stretchable semiconductors and electronic circuits of the present invention may be adapted to a wide range of device configurations to provide fully flexible electronic and optoelectronic devices.",8754396
